iter	RMSE
0	1.267307763
1	1.173415703
2	1.089645745
3	1.014434943
4	0.951707656
5	0.8905404508
6	0.836668607
7	0.7975483403
8	0.7568004419
9	0.7179516307
10	0.6855937252
11	0.6577998018
12	0.6315180131
13	0.6099135193
14	0.5910181962
15	0.5743699897
16	0.5564268087
17	0.5433524259
18	0.5337384701
19	0.5237786378
20	0.5159085226
21	0.505838596
22	0.4960393609
23	0.4889551998
24	0.4824965153
25	0.4770472723
26	0.4734637193
27	0.4704172602
28	0.4654884913
29	0.4608207186
30	0.4577909669
31	0.4546161646
32	0.451808192
33	0.4496114254
34	0.4478660953
35	0.4458738569
36	0.4442662216
37	0.4423185565
38	0.4401252214
39	0.4389602748
40	0.4378923161
41	0.435413931
42	0.4332688062
43	0.4316144463
44	0.4298500261
45	0.4287601289
46	0.4276003463
47	0.4268595235
48	0.4256741492
49	0.424247562
50	0.4234026961
51	0.4224683109
52	0.4215707437
53	0.4210171745
54	0.4201836835
55	0.4193873949
56	0.4186922144
57	0.4183018209
58	0.4174406028
59	0.41736957
60	0.4168932746
61	0.4163477749
62	0.4158428304
63	0.4152509653
64	0.4145773265
65	0.414055574
66	0.413466285
67	0.4129703675
68	0.4126571467
69	0.4121483542
70	0.4113271924
71	0.4110069729
72	0.4106239144
73	0.4101278118
74	0.4095210265
75	0.4088497858
76	0.408500944
77	0.4081970173
78	0.4078404451
79	0.4075055117
80	0.4069623732
81	0.4066400171
82	0.4064536165
83	0.4062248261
84	0.4059109479
85	0.4054923896
86	0.4050987422
87	0.404808957
88	0.4046847515
89	0.4043185403
90	0.4040780857
91	0.4037608965
92	0.403744303
93	0.4033130024
94	0.403032819
95	0.402743374
96	0.402466049
97	0.4020702807
98	0.4016488749
99	0.4011867501
100	0.4008160384
101	0.4006148018
102	0.4004345001
103	0.4001312751
104	0.3997685845
105	0.3995488693
106	0.3993335481
107	0.3990174763
108	0.3987355007
109	0.3984725772
110	0.3981512122
111	0.3979011329
112	0.3977068122
113	0.3974551755
114	0.3972074732
115	0.3969697203
116	0.3966901995
117	0.396442062
118	0.3961693086
119	0.3958709916
120	0.3956227161
121	0.3953421882
122	0.3950711067
123	0.3948595439
124	0.394628447
125	0.3944567712
126	0.3942883783
127	0.3940864268
128	0.3938841922
129	0.3936948977
130	0.3934985206
131	0.3932694516
132	0.393134544
133	0.3929364654
134	0.3927341558
135	0.3925838914
136	0.3924680333
137	0.3922492077
138	0.3920705599
139	0.3918599872
140	0.3916775109
141	0.3914929565
142	0.3913466674
143	0.3911725344
144	0.390978718
145	0.3908092843
146	0.3906199467
147	0.3904804931
148	0.3903648401
149	0.3901601087
150	0.3900295019
151	0.3899446368
152	0.3898417406
153	0.3897123991
154	0.3895469109
155	0.3894274092
156	0.3893046192
157	0.3891331849
158	0.3890312818
159	0.3888882714
160	0.3887515053
161	0.3886318734
162	0.3885550221
163	0.3884762017
164	0.3883636732
165	0.3882178734
166	0.3881305061
167	0.3880442147
168	0.3879485538
169	0.3878368488
170	0.3877446492
171	0.3876286939
172	0.3875266115
173	0.3873861429
174	0.3872871889
175	0.3871615836
176	0.3870272376
177	0.386904922
178	0.3868051299
179	0.3866728589
180	0.3866042979
181	0.3864975064
182	0.3864131887
183	0.3863372412
184	0.3862195014
185	0.3861395956
186	0.3860531985
187	0.3859349993
188	0.3858315209
189	0.385766167
190	0.3856742061
191	0.3855789417
192	0.3854812267
193	0.3854144122
194	0.3853495562
195	0.3852452795
196	0.3851687916
197	0.3851054565
198	0.3850178999
199	0.3849401712
